AGS_12,state,nuts2,district,name,population,male,female,male_under10,female_under10,male_10to19,female_10to19,male_20to29,female_20to29,male_30to39,female_30to39,male_40to49,female_40to49,male_50to59,female_50to59,male_60to69,female_60to69,male_70to79,female_70to79,male_80andover,female_80andover,working_population,agriculture_forests_fishery,mining_and_industry,energy_water_waste,construction,trade_carmechanics_tourism,traffic_storage_communication,finance_insurance,property,public_administration,other_services,unknown
6531,6,5,31,Gießen,251238,122259,128979,10701,10041,13217,12327,18488,20128,14996,14938,20050,19650,17409,17927,12623,13074,10438,12308,4337,8586,128130,980,19450,1370,5710,24630,8780,4010,14430,12920,35850,0
6532,6,5,32,Lahn-Dill-Kreis,253441,123603,129838,11230,10535,14354,13976,14581,13793,13804,14394,21388,21211,18417,18470,13751,14120,11566,14065,4512,9274,127980,940,37960,1170,5640,19660,8160,3800,12780,10950,26930,10
6533,6,5,33,Limburg-Weilburg,170696,83913,86783,7670,7373,9924,9423,9747,8884,9499,9561,14742,14648,12821,12827,8985,9188,7528,8827,2997,6052,85530,790,15250,730,6050,14710,7070,3620,10220,9000,18080,
6534,6,5,34,Marburg-Biedenkopf,241226,117523,123703,10571,9944,12991,12550,18030,19475,14211,14066,19322,18829,16650,16763,11522,12072,10186,12055,4040,7949,123860,1190,29880,1350,5240,17640,6440,3250,12120,10860,35840,30
6535,6,5,35,Vogelsbergkreis,108509,53687,54823,4186,4015,5956,5716,5774,5073,5742,5707,8866,8794,8997,8529,6063,5851,5571,6640,2532,4498,55160,1420,12970,590,3740,9340,3630,1710,4290,5400,12070,
6611,6,6,11,"Kassel, documenta-Stadt",190765,91488,99277,8357,7722,8708,8743,14775,15849,12208,11681,14618,14314,12537,12756,9378,10568,7469,9694,3438,7950,93090,,13340,1310,3150,15220,6970,2180,12680,8610,28760,10
6631,6,6,31,Fulda,216179,105791,110388,9863,9479,12987,12448,13152,12413,12190,12532,18176,17744,15115,15188,10552,10967,9576,11433,4180,8184,110120,2210,22730,1140,6960,18960,9670,2940,12130,10340,23020,20
6632,6,6,32,Hersfeld-Rotenburg,120694,59300,61394,5010,4784,6459,6062,6480,5922,6373,6371,9937,9597,9269,9078,6949,7015,6030,7422,2793,5143,58300,1490,12520,460,3050,11390,5170,1460,5250,5870,11640,0
6633,6,6,33,Kassel,234933,114155,120778,9380,8873,13014,12023,11296,10698,11547,12613,19827,20368,17738,17869,14554,15153,12234,14112,4565,9069,119280,1780,25730,1570,5030,20260,9280,3620,12570,12880,26550,
6634,6,6,34,Schwalm-Eder-Kreis,181851,90065,91785,7517,6917,10177,9532,10026,8934,9786,9723,15488,15367,14035,13696,10508,10117,8973,10478,3555,7021,91250,2010,22980,940,4260,15420,6720,2400,7530,9190,19790,10
6635,6,6,35,Waldeck-Frankenberg,158990,78194,80796,6892,6416,9212,8651,8789,7688,8073,8643,13510,13193,11970,11826,8562,8759,7897,9201,3289,6419,80880,1800,20990,710,4400,13440,4100,1940,7130,6530,19830,0
6636,6,6,36,Werra-Meißner-Kreis,102124,49658,52466,3791,3781,5298,5128,5117,4825,4893,4981,8406,8350,8121,7822,6231,6400,5487,6558,2314,4621,49040,1520,9730,360,2950,8680,3000,1460,4540,5020,11770,0
7111,7,1,11,"Koblenz, Stadt",107825,51652,56173,4324,4285,4701,4871,7440,7955,7042,6415,8280,7948,7173,7563,5698,6035,4900,6316,2094,4785,56340,,6150,620,2210,10480,4910,2160,6720,7780,15010,
7131,7,1,31,Ahrweiler,125883,61297,64588,4865,4718,7062,6772,6515,6158,5997,6391,10830,10708,9770,9454,7069,7505,6481,7594,2708,5288,64900,1100,9850,590,3960,12460,4790,2300,6150,7630,16070,
7132,7,1,32,Altenkirchen Westerwald,130570,64263,66307,5702,5341,7900,7365,7405,6870,6724,6946,11104,10839,9975,9646,6951,7235,6077,7349,2425,4716,66470,560,19050,640,4150,11190,4440,1440,5810,4240,14950,
7133,7,1,33,Bad Kreuznach,155599,75262,80337,6485,6492,8571,8169,8529,7841,8015,8585,13020,13102,11775,12113,8766,9225,7179,8694,2922,6116,78820,1700,15830,800,4680,14420,5390,2390,8370,5920,19320,0
7134,7,1,34,Birkenfeld,82778,40614,42164,3335,3051,4385,4167,4841,4313,4125,3953,6650,6636,6625,6752,4580,4517,4318,5265,1755,3510,41690,600,9530,680,2830,7020,2050,1000,3380,4330,10280,
7135,7,1,35,Cochem-Zell,64188,31923,32264,2625,2509,3634,3364,3668,3063,3186,3195,5515,5313,4991,4721,3574,3497,3357,3874,1373,2728,33450,930,5380,330,2260,6930,2080,890,2580,4370,7710,
7137,7,1,37,Mayen-Koblenz,210307,102955,107353,9051,8587,11884,11011,11311,11110,11359,11667,18237,18071,16266,16399,11397,11446,9763,11470,3687,7592,110180,1220,19830,1520,6350,20150,8560,3860,10260,12430,26000,0
7138,7,1,38,Neuwied,180674,88216,92456,7829,7548,10949,9979,9859,9186,9003,9615,15046,15208,13807,13796,9660,10031,8542,10163,3521,6930,90690,900,20680,1180,5870,14070,6870,2570,9510,7110,21930,
7140,7,1,40,Rhein-Hunsrück-Kreis,102323,50388,51934,4334,4070,6008,5652,5550,5249,5524,5444,8629,8592,8089,7936,5520,5476,4674,5599,2060,3916,54680,1030,10520,440,4300,10030,4570,1910,4650,5080,12160,
7141,7,1,41,Rhein-Lahn-Kreis,123203,60524,62679,5099,4707,6745,6470,6597,6127,6499,6404,10366,10318,9468,9495,7283,7299,6082,7079,2385,4780,63800,1070,11830,820,3830,10710,4750,1940,6520,7240,15090,
7143,7,1,43,Westerwaldkreis,200058,98763,101296,8994,8635,11868,11166,11246,10372,11027,11248,17761,17406,15105,14774,10448,10576,8874,10338,3440,6781,105790,1010,25640,1060,7650,18530,8000,2840,9530,9020,22500,0
7211,7,2,11,"Trier, Stadt",105671,50379,55292,4327,3893,4395,4477,10114,12281,7375,6343,7754,7443,6377,6767,4415,4742,3876,5204,1746,4142,57880,,6710,800,2880,12460,3760,3110,6430,4100,17320,
7231,7,2,31,Bernkastel-Wittlich,112319,55537,56783,4675,4521,6237,6014,6389,5618,6094,6092,9642,9228,8859,8596,6045,5918,5413,6336,2183,4460,60850,3020,14110,660,4830,11010,3550,1500,4260,5190,12720,
7232,7,2,32,Eifelkreis Bitburg-Prüm,95775,47499,48275,4296,3952,5777,5535,5604,5179,5039,5058,8244,8007,7617,7013,4760,4718,4316,5149,1846,3664,52030,2890,10970,760,4480,9200,2840,1850,3640,3590,11800,
