"Country","State","City","Population","Lat","Lon"
"Germany","NorthRhineWestphalia","Minden",81598,52.29,8.9
"Germany","LowerSaxony","Wilhelmshaven",76201,53.54,8.11
"Germany","RheinlandPalatinate","Worms",82212,49.64,8.35
"Germany","BadenWurttemberg","VillingenSchwenningen",81916,48.07,8.45
"Germany","BadenWurttemberg","Konstanz",81692,47.68,9.17
"Germany","Hesse","Marburg",73836,50.800000000000004,8.77
"Germany","NorthRhineWestphalia","Dorsten",75431,51.67,6.97
"Germany","NorthRhineWestphalia","Ludenscheid",78032,51.230000000000004,7.6000000000000005
"Germany","SchleswigHolstein","Neumunster",79680,54.07,9.98
"Germany","SaxonyAnhalt","Dessau",77394,51.83,12.22
"Germany","NorthRhineWestphalia","CastropRauxel",74220,51.550000000000004,7.3100000000000005
"Germany","NorthRhineWestphalia","Rheine",74852,52.29,7.44
"Germany","NorthRhineWestphalia","Gladbeck",76373,51.58,6.98
"Germany","NorthRhineWestphalia","Viersen",75975,51.26,6.4
"Germany","NorthRhineWestphalia","Arnsberg",75867,51.410000000000004,8.06
"Germany","LowerSaxony","Delmenhorst",77045,53.06,8.64
"Germany","NorthRhineWestphalia","Troisdorf",74790,50.82,7.16
"Germany","Hesse","Giessen",84455,50.58,8.68
"Germany","NorthRhineWestphalia","Detmold",74817,51.95,8.88
"Germany","NorthRhineWestphalia","Bocholt",71443,51.84,6.61
"Germany","Bavaria","Bayreuth",73503,49.95,11.58
"Germany","Brandenburg","Brandenburg",71664,52.42,12.530000000000001
"Germany","LowerSaxony","Luneburg",74494,53.25,10.4
"Germany","SchleswigHolstein","Norderstedt",76712,53.660000000000004,10.02
"Germany","LowerSaxony","Celle",69561,52.620000000000005,10.06
"Germany","NorthRhineWestphalia","Dinslaken",70233,51.58,6.73
"Germany","Bavaria","Bamberg",69574,49.9,10.9
"Germany","Bavaria","Aschaffenburg",68664,49.99,9.15
"Germany","Saxony","Plauen",68430,50.5,12.14
"Germany","NorthRhineWestphalia","Unna",67680,51.54,7.68
"Germany","MecklenburgWesternPomerania","Neubrandenburg",63794,53.57,13.27
"Germany","NorthRhineWestphalia","Lippstadt",67233,51.67,8.34
"Germany","BadenWurttemberg","Aalen",67344,48.85,10.09
"Germany","RheinlandPalatinate","Neuwied",65750,50.43,7.46
"Germany","NorthRhineWestphalia","Herford",65060,52.120000000000005,8.67
"Germany","Thuringia","Weimar",64131,50.99,11.32
"Germany","NorthRhineWestphalia","Kerpen",64425,50.88,6.69
"Germany","NorthRhineWestphalia","Grevenbroich",64388,51.1,6.57
"Germany","NorthRhineWestphalia","Herten",64344,51.59,7.21
"Germany","Hesse","Fulda",65540,50.550000000000004,9.69
"Germany","NorthRhineWestphalia","Dormagen",62498,51.08,6.84
"Germany","LowerSaxony","Garbsen",60853,52.42,9.59
"Germany","NorthRhineWestphalia","Bergheim",62897,50.96,6.640000000000001
"Germany","Brandenburg","Frankfurt",58018,52.34,14.530000000000001
"Germany","Bavaria","Landshut",61923,48.54,12.14
"Germany","Bavaria","Kempten",65624,47.730000000000004,10.3
"Germany","NorthRhineWestphalia","Wesel",60088,51.67,6.62
"Germany","BadenWurttemberg","SchwabischGmund",59840,48.81,9.790000000000001
"Germany","BadenWurttemberg","Sindelfingen",62215,48.71,9.01
"Germany","Bavaria","Rosenheim",60394,47.86,12.15
"Germany","Hesse","Russelsheim",59203,50.,8.41
"Germany","NorthRhineWestphalia","Langenfeld",56993,51.11,6.95
"Germany","BadenWurttemberg","Offenburg",57687,48.480000000000004,7.95
"Germany","NorthRhineWestphalia","Stolberg",58540,50.79,6.23
"Germany","LowerSaxony","Hameln",56747,52.11,9.35
"Germany","MecklenburgWesternPomerania","Stralsund",58041,54.32,13.09
"Germany","BadenWurttemberg","Friedrichshafen",59108,47.660000000000004,9.48
"Germany","BadenWurttemberg","Goppingen",57627,48.71,9.66
"Germany","NorthRhineWestphalia","Menden",57599,51.44,7.79
"Germany","Saxony","Gorlitz",57111,51.160000000000004,14.98
"Germany","NorthRhineWestphalia","Hattingen",55510,51.410000000000004,7.18
"Germany","NorthRhineWestphalia","Hilden",56326,51.18,6.93
"Germany","NorthRhineWestphalia","SanktAugustin",56216,50.78,7.18
"Germany","NorthRhineWestphalia","Eschweiler",55646,50.83,6.2700000000000005
"Germany","NorthRhineWestphalia","Hurth",59496,50.89,6.890000000000001
"Germany","NorthRhineWestphalia","Euskirchen",56769,50.660000000000004,6.79
"Germany","BadenWurttemberg","BadenBaden",54307,48.76,8.23
"Germany","NorthRhineWestphalia","Ahlen",55280,51.77,7.88
"Germany","NorthRhineWestphalia","BadSalzuflen",53746,52.09,8.75
"Germany","NorthRhineWestphalia","Meerbusch",54180,51.24,6.73
"Germany","LowerSaxony","Wolfenbuttel",52446,52.17,10.55
"Germany","Bavaria","Schweinfurt",53970,50.06,10.22
"Germany","RheinlandPalatinate","Neustadt",53658,49.36,8.13
"Germany","NorthRhineWestphalia","Pulheim",53645,51.,6.8
"Germany","MecklenburgWesternPomerania","Greifswald",56685,54.09,13.39
"Germany","LowerSaxony","Nordhorn",53286,52.44,7.0600000000000005
"Germany","BadenWurttemberg","Waiblingen",53407,48.83,9.31
"Germany","NorthRhineWestphalia","Gummersbach",52636,51.04,7.57
"Germany","Hesse","Wetzlar",51649,50.56,8.5
"Germany","NorthRhineWestphalia","Bergkamen",47803,51.620000000000005,7.63
"Germany","NorthRhineWestphalia","Willich",51995,51.27,6.55
"Germany","Hesse","BadHomburg",52752,50.230000000000004,8.620000000000001
"Germany","LowerSaxony","Cuxhaven",48551,53.870000000000005,8.69
"Germany","LowerSaxony","Emden",50486,53.370000000000005,7.21
"Germany","Bavaria","NeuUlm",51700,48.4,10.01
"Germany","LowerSaxony","Lingen",51417,52.54,7.3100000000000005
"Germany","LowerSaxony","Langenhagen",51388,52.45,9.74
"Germany","NorthRhineWestphalia","Ibbenburen",51190,52.29,7.71
"Germany","NorthRhineWestphalia","Erftstadt",51082,50.81,6.76
"Germany","RheinlandPalatinate","Spires",50648,49.33,8.43
"Germany","Bavaria","Passau",50566,48.58,13.44
"Germany","LowerSaxony","Peine",49676,52.33,10.23
"Germany","NorthRhineWestphalia","Schwerte",49326,51.45,7.5600000000000005
"Germany","BadenWurttemberg","Heidenheim",48048,48.68,10.14
"Germany","NorthRhineWestphalia","BadOeynhausen",49194,52.21,8.81
"Germany","BadenWurttemberg","Ravensburg",49830,47.79,9.6
"Germany","NorthRhineWestphalia","Frechen",49164,50.910000000000004,6.8100000000000005
"Germany","NorthRhineWestphalia","Cleves",49124,51.79,6.12
"Germany","Saarland","Neunkirchen",45794,49.36,7.18
"Germany","NorthRhineWestphalia","Soest",48442,51.57,8.11
"Germany","NorthRhineWestphalia","Bornheim",48402,50.77,6.98
"Germany","SchleswigHolstein","Elmshorn",47667,53.75,9.65
"Germany","Bavaria","Hof",48191,50.32,11.9
"Germany","BadenWurttemberg","Rastatt",47650,48.86,8.2
"Germany","BadenWurttemberg","Lorrach",49303,47.63,7.66
"Germany","NorthRhineWestphalia","Dulmen",47432,51.84,7.3
"Germany","NorthRhineWestphalia","Erkrath",47205,51.22,6.890000000000001
"Germany","NorthRhineWestphalia","Herzogenrath",46398,50.870000000000005,6.09
"Germany","RheinlandPalatinate","Frankenthal",46938,49.550000000000004,8.35
"Germany","LowerSaxony","Melle",46651,52.2,8.35
"Germany","NorthRhineWestphalia","RhedaWiedenbruck",46625,51.85,8.28
"Germany","Thuringia","Gotha",45410,50.95,10.700000000000001
"Germany","NorthRhineWestphalia","Gronau",46488,52.2,7.03
"Germany","NorthRhineWestphalia","Alsdorf",46337,50.88,6.15
"Germany","BadenWurttemberg","Boblingen",47385,48.7,9.02
"Germany","SaxonyAnhalt","Wittenberg",46475,51.88,12.64
"Germany","BadenWurttemberg","Albstadt",44431,48.22,9.01
"Germany","LowerSaxony","Stade",47194,53.61,9.46
"Germany","NorthRhineWestphalia","Kamen",45816,51.6,7.66
"Germany","LowerSaxony","Neustadt",45657,52.51,9.46
"Germany","BadenWurttemberg","Leonberg",46143,48.800000000000004,9.02
"Germany","NorthRhineWestphalia","Hennef",45480,50.78,7.28
"Germany","BadenWurttemberg","Singen",46344,47.77,8.84
"Germany","MecklenburgWesternPomerania","Wismar",45182,53.9,11.46
"Germany","NorthRhineWestphalia","Bunde",44994,52.2,8.61
"Germany","NorthRhineWestphalia","Erkelenz",43350,51.08,6.32
"Germany","Bavaria","Straubing",44504,48.89,12.57
"Germany","NorthRhineWestphalia","Bruhl",44768,50.85,6.9
"Germany","Bavaria","Amberg",44394,49.45,11.85
"Germany","Bavaria","Freising",44105,48.410000000000004,11.73
"Germany","BadenWurttemberg","Fellbach",45147,48.82,9.27
"Germany","Saarland","Homburg",44043,49.33,7.33
"Germany","RheinlandPalatinate","BadKreuznach",48229,49.85,7.86
"Germany","BadenWurttemberg","Filderstadt",44721,48.67,9.23
"Germany","LowerSaxony","Lehrte",43720,52.38,9.97
"Germany","BadenWurttemberg","Lahr",44195,48.34,7.86
"Germany","Thuringia","Eisenach",42417,50.980000000000004,10.31
"Germany","NorthRhineWestphalia","Monheim",43587,51.09,6.88
"Germany","BadenWurttemberg","Weinheim",44797,49.56,8.66
"Germany","Thuringia","Nordhausen",43344,51.51,10.790000000000001
"Germany","Hesse","Rodgau",43325,50.03,8.870000000000001
"Germany","BadenWurttemberg","Bruchsal",44104,49.14,8.59
"Germany","RheinlandPalatinate","Landau",45362,49.2,8.11
"Germany","Saxony","Freiberg",42897,50.92,13.34
"Germany","BadenWurttemberg","Rottenburg",42240,48.49,8.93
"Germany","Hesse","Oberursel",42448,50.21,8.58
"Germany","LowerSaxony","Goslar",42792,51.92,10.43
"Germany","Bavaria","Weiden",42496,49.68,12.16
"Germany","RheinlandPalatinate","Pirmasens",42427,49.2,7.6000000000000005
"Germany","NorthRhineWestphalia","Nettetal",42412,51.32,6.28
"Germany","NorthRhineWestphalia","Kaarst",42269,51.24,6.61
"Germany","BadenWurttemberg","BietigheimBissingen",42968,48.96,9.13
"Germany","LowerSaxony","Gifhorn",42143,52.49,10.53
"Germany","SchleswigHolstein","Pinneberg",41972,53.660000000000004,9.8
"Germany","NorthRhineWestphalia","Lemgo",41958,52.04,8.91
"Germany","Bavaria","Kaufbeuren",41759,47.89,10.61
"Germany","Thuringia","Suhl",36208,50.61,10.68
"Germany","Brandenburg","Eberswalde",41980,52.84,13.8
"Germany","Saxony","Bautzen",41779,51.18,14.43
"Germany","LowerSaxony","Wunstorf",41478,52.43,9.43
"Germany","Bavaria","Coburg",41638,50.27,10.950000000000001
"Germany","LowerSaxony","Seevetal",41234,53.39,10.03
"Germany","NorthRhineWestphalia","Heinsberg",41458,51.07,6.09
"Germany","NorthRhineWestphalia","Lohne",41311,52.2,8.72
"Germany","Brandenburg","Oranienburg",41267,52.75,13.23
"Germany","NorthRhineWestphalia","Konigswinter",41216,50.71,7.18
"Germany","Bavaria","Memmingen",41111,47.99,10.18
"Germany","NorthRhineWestphalia","Borken",41088,51.85,6.87
"Germany","Hesse","Dreieich",40601,50.03,8.700000000000001
"Germany","LowerSaxony","Aurich",40651,53.49,7.48
"Germany","BadenWurttemberg","Nurtingen",39960,48.63,9.34
"Germany","Bavaria","Dachau",45985,48.26,11.43
"Germany","Saarland","Volklingen",39574,49.26,6.86
"Germany","Bavaria","Ansbach",40412,49.300000000000004,10.57
"Germany","LowerSaxony","Laatzen",41389,52.32,9.790000000000001
"Germany","BadenWurttemberg","Kirchheim",39396,48.65,9.44
"Germany","NorthRhineWestphalia","Mettmann",38291,51.25,6.96
"Germany","Saxony","Pirna",38010,50.96,13.93
"Germany","NorthRhineWestphalia","Huckelhoven",39731,51.06,6.22
"Germany","Hesse","Bensheim",39521,49.68,8.620000000000001
"Germany","NorthRhineWestphalia","KampLintfort",37118,51.5,6.5200000000000005
"Germany","Bavaria","Neumarkt",41318,49.28,11.46
"Germany","SaxonyAnhalt","Halberstadt",39318,51.9,11.040000000000001
"Germany","Saxony","Hoyerswerda",33843,51.44,14.24
"Germany","BadenWurttemberg","Schorndorf",38733,48.81,9.52
"Germany","NorthRhineWestphalia","Siegburg",39192,50.81,7.21
"Germany","Saxony","Freital",39361,51.02,13.66
"Germany","Brandenburg","Falkensee",41777,52.550000000000004,13.06
"Germany","LowerSaxony","Buxtehude",40033,53.480000000000004,9.68
"Germany","BadenWurttemberg","Ettlingen",38861,48.95,8.4
"Germany","Bavaria","Schwabach",38862,49.33,11.03
"Germany","NorthRhineWestphalia","Warendorf",38609,51.96,7.98
"Germany","NorthRhineWestphalia","Ahaus",38509,52.09,7.01
"Germany","NorthRhineWestphalia","Voerde",38358,51.6,6.68
"Germany","Saarland","SanktIngbert",36069,49.28,7.11
"Germany","Saarland","Saarlouis",38189,49.33,6.75
"Germany","LowerSaxony","Buchholz",38167,53.34,9.86
"Germany","Hesse","Hofheim",38085,50.09,8.43
"Germany","NorthRhineWestphalia","Haltern",37954,51.75,7.17
"Germany","Hesse","Maintal",38313,50.160000000000004,8.9
"Germany","NorthRhineWestphalia","Hemer",37833,51.39,7.76
"Germany","NorthRhineWestphalia","Wurselen",37392,50.82,6.13
"Germany","NorthRhineWestphalia","Beckum",37275,51.76,8.03
"Germany","Thuringia","Altenburg",32910,51.01,12.44
"Germany","Bavaria","Germering",36956,48.13,11.36
"Germany","Thuringia","Muhlhausen",34552,51.22,10.45
"Germany","BadenWurttemberg","LeinfeldenEchterdingen",38266,48.71,9.13
"Germany","SaxonyAnhalt","Stendal",40269,52.61,11.84
"Germany","Brandenburg","Schwedt",36677,53.07,14.26
"Germany","BadenWurttemberg","SchwabischHall",37952,49.120000000000005,9.73
"Germany","NorthRhineWestphalia","Coesfeld",36660,51.95,7.16
"Germany","NorthRhineWestphalia","Niederkassel",36652,50.82,7.03
"Germany","NorthRhineWestphalia","Wermelskirchen",36386,51.15,7.21
"Germany","NorthRhineWestphalia","Datteln",34521,51.67,7.38
"Germany","NorthRhineWestphalia","Kempen",34630,51.370000000000005,6.41
"Germany","Saxony","Riesa",36140,51.31,13.280000000000001
"Germany","NorthRhineWestphalia","PortaWestfalica",36000,52.22,8.93
"Germany","NorthRhineWestphalia","Lage",35850,52.,8.790000000000001
"Germany","NorthRhineWestphalia","Emsdetten",36320,52.18,7.53
"Germany","BadenWurttemberg","Backnang",35661,48.95,9.43
"Germany","BadenWurttemberg","Sinsheim",34882,49.26,8.870000000000001
"Germany","NorthRhineWestphalia","Greven",35546,52.1,7.62
"Germany","Brandenburg","Bernau",34866,52.68,13.58
"Germany","NorthRhineWestphalia","Wesseling",35360,50.84,6.98
"Germany","Hesse","NeuIsenburg",36354,50.06,8.69
"Germany","Hesse","Langen",35845,50.,8.67
"Germany","LowerSaxony","Papenburg",36698,53.09,7.4
"Germany","RheinlandPalatinate","Zweibrucken",34011,49.25,7.37
"Germany","BadenWurttemberg","Tuttlingen",34586,47.99,8.8
"Germany","LowerSaxony","Uelzen",34758,52.97,10.56
"Germany","BadenWurttemberg","Kehl",34513,48.59,7.8100000000000005
"Germany","BadenWurttemberg","Ostfildern",37785,48.72,9.26
"Germany","LowerSaxony","Meppen",34935,52.7,7.3
"Germany","NorthRhineWestphalia","Steinfurt",34476,52.160000000000004,7.33
"Germany","SaxonyAnhalt","Merseburg",34052,51.36,11.99
"Germany","BadenWurttemberg","Balingen",33537,48.28,8.85
"Germany","LowerSaxony","Barsinghausen",33922,52.31,9.47
"Germany","LowerSaxony","Leer",34128,53.24,7.46
"Germany","NorthRhineWestphalia","Goch",34106,51.68,6.16
"Germany","NorthRhineWestphalia","Geldern",33954,51.52,6.33
"Germany","Brandenburg","Eisenhuttenstadt",30416,52.160000000000004,14.620000000000001
"Germany","SaxonyAnhalt","Wernigerode",33871,51.84,10.790000000000001
"Germany","Hesse","Limburg",34255,50.39,8.05
"Germany","LowerSaxony","Winsen",33830,53.370000000000005,10.21
"Germany","Hesse","MorfeldenWalldorf",33623,49.980000000000004,8.56
"Germany","Bavaria","Furstenfeldbruck",33716,48.19,11.25
"Germany","NorthRhineWestphalia","Julich",32089,50.93,6.36
"Germany","Bavaria","Erding",36291,48.31,11.89
